日期,標題,內容
114-04-23,無標題,無內容
114-04-23,無標題,無內容
114-04-23,假投資詐騙,我在【抖音】得知投資廣告訊息並點入廣告內連結，後續加入對方LINE好友【暱稱：幣商科技、D2X、Mr.Liu、Vincent】，對方慫恿我到【D2X網站】平台申請帳號，我後來並依照對方指示至【超商代碼繳費、購買虛擬貨幣並當面交付現金】，後來發現平台虛擬貨幣金額被提領清空，我才驚覺受騙報案。
114-04-23,假投資詐騙,我在【抖音】得知投資廣告訊息並點入廣告內連結，後續加入對方LINE好友【暱稱：幣商科技、D2X、Mr.Liu、Vincent】，對方慫恿我到【D2X網站】平台申請帳號，我後來並依照對方指示至【超商代碼繳費、購買虛擬貨幣並當面交付現金】，後來發現平台虛擬貨幣金額被提領清空，我才驚覺受騙報案。
114-04-23,假投資詐騙,我在【抖音】得知投資廣告訊息並點入廣告內連結，後續加入對方LINE好友【暱稱：幣商科技、D2X、Mr.Liu、Vincent】，對方慫恿我到【D2X網站】平台申請帳號，我後來並依照對方指示至【超商代碼繳費、購買虛擬貨幣並當面交付現金】，後來發現平台虛擬貨幣金額被提領清空，我才驚覺受騙報案。
114-04-23,無標題,無內容
114-04-23,無標題,無內容
114-04-23,假投資詐騙,我因為【聽我朋友的介紹】得知投資訊息，在【LINE】以「投資賺錢為前提」認識歹徒，對方慫恿至【假投資網站投資（網站名稱:Phemex）】，誆稱保證獲利、穩賺不賠，我依指示至該網站申請帳號並面交，期間於該平台可見有獲利入金，惟因後來我要提領獲利出金時卻遲遲無法出金，對方還一職要求我匯款保證金才能出金，我才驚覺受騙，期間我還抵押2筆不動產借款，損失慘重。
114-04-23,假投資詐騙,我因為【聽我朋友的介紹】得知投資訊息，在【LINE】以「投資賺錢為前提」認識歹徒，對方慫恿至【假投資網站投資（網站名稱:Phemex）】，誆稱保證獲利、穩賺不賠，我依指示至該網站申請帳號並面交，期間於該平台可見有獲利入金，惟因後來我要提領獲利出金時卻遲遲無法出金，對方還一職要求我匯款保證金才能出金，我才驚覺受騙，期間我還抵押2筆不動產借款，損失慘重。
114-04-23,假投資詐騙,我因為【聽我朋友的介紹】得知投資訊息，在【LINE】以「投資賺錢為前提」認識歹徒，對方慫恿至【假投資網站投資（網站名稱:Phemex）】，誆稱保證獲利、穩賺不賠，我依指示至該網站申請帳號並面交，期間於該平台可見有獲利入金，惟因後來我要提領獲利出金時卻遲遲無法出金，對方還一職要求我匯款保證金才能出金，我才驚覺受騙，期間我還抵押2筆不動產借款，損失慘重。
114-04-23,無標題,無內容
114-04-23,無標題,無內容
114-04-23,假求職,我於網路上看見家庭代工廣告，廣告連結到客服人員【劉馨馨】，後經由對方介紹後加入一個投資群組【Jreeport McMoRan】，該投資群組管理員【kelly】知道我急需金錢借貸，又介紹【林亞妃】貸款人員與其接洽，如要借貸就需要我金融卡寄放在她那邊，我誤信其話術便以【空軍一號客運貨運寄送提款卡並提供密碼，後因金融機構通知我帳戶遭凍結，我才驚覺受騙。
114-04-23,假求職,我於網路上看見家庭代工廣告，廣告連結到客服人員【劉馨馨】，後經由對方介紹後加入一個投資群組【Jreeport McMoRan】，該投資群組管理員【kelly】知道我急需金錢借貸，又介紹【林亞妃】貸款人員與其接洽，如要借貸就需要我金融卡寄放在她那邊，我誤信其話術便以【空軍一號客運貨運寄送提款卡並提供密碼，後因金融機構通知我帳戶遭凍結，我才驚覺受騙。
114-04-23,假求職,我於網路上看見家庭代工廣告，廣告連結到客服人員【劉馨馨】，後經由對方介紹後加入一個投資群組【Jreeport McMoRan】，該投資群組管理員【kelly】知道我急需金錢借貸，又介紹【林亞妃】貸款人員與其接洽，如要借貸就需要我金融卡寄放在她那邊，我誤信其話術便以【空軍一號客運貨運寄送提款卡並提供密碼，後因金融機構通知我帳戶遭凍結，我才驚覺受騙。
114-04-23,無標題,無內容
114-04-23,無標題,無內容
114-04-23,假交友(投資詐財),我在臉書認識網友【暱稱:姜振威】，聊天後加入【LINE】以「單純交友為前提」認識對方，對方慫恿我至【假投資網站投資（網站名稱LSEG及網址:https://lseg.dfsoppppa.top）】，且誆稱保證獲利、穩賺不賠，我遂依指示至該網站申請帳號，並依照對方指示匯款15次，期間看見有穩定獲利入金，一直到後來要提領獲利出金時，對方卻一直推延遲不出金、一直到該投資網站關閉，我才驚覺受騙。
114-04-23,假交友(投資詐財),我在臉書認識網友【暱稱:姜振威】，聊天後加入【LINE】以「單純交友為前提」認識對方，對方慫恿我至【假投資網站投資（網站名稱LSEG及網址:https://lseg.dfsoppppa.top）】，且誆稱保證獲利、穩賺不賠，我遂依指示至該網站申請帳號，並依照對方指示匯款15次，期間看見有穩定獲利入金，一直到後來要提領獲利出金時，對方卻一直推延遲不出金、一直到該投資網站關閉，我才驚覺受騙。
